,DEPCOM,MACROZONE,Macro_agre,NOM,POP2010,POP2011
856,91200,91,,Dourdan,9984,10036
857,91201,91,,Draveil,28491,28646
858,91204,91,,?charcon,793,807
859,91207,91,,?gly,5323,5314
860,91215,91,,?pinay-sous-S?nart,12171,12129
861,91216,91,,?pinay-sur-Orge,10104,10349
862,91222,91,,Estouches,207,208
863,91223,91,,?tampes,23158,24013
864,91225,91,,?tiolles,3073,3101
865,91226,91,,?tr?chy,6295,6318
866,91228,91,,?vry,52135,52184
867,91232,91,,La Fert?-Alais,3985,3994
868,91235,91,,Fleury-M?rogis,9121,9110
869,91240,91,,Fontaine-la-Rivi?re,203,212
870,91243,91,,Fontenay-l?s-Briis,1882,1881
871,91244,91,,Fontenay-le-Vicomte,1273,1282
872,91247,91,,La For?t-le-Roi,481,485
873,91248,91,,La For?t-Sainte-Croix,155,157
874,91249,91,,Forges-les-Bains,3723,3748
875,91272,91,,Gif-sur-Yvette,20654,20622
876,91273,91,,Gironville-sur-Essonne,806,814
877,91274,91,,Gometz-la-Ville,1374,1387
878,91275,91,,Gometz-le-Ch?tel,2588,2622
879,91284,91,,Les Granges-le-Roi,1067,1080
880,91286,91,,Grigny,26638,27179
881,91292,91,,Guibeville,719,711
882,91293,91,,Guigneville-sur-Essonne,926,923
883,91294,91,,Guillerval,766,776
884,91312,91,,Igny,10336,10522
885,91315,91,,Itteville,6575,6568
886,91318,91,,Janville-sur-Juine,1863,1902
887,91319,91,,Janvry,584,585
888,91326,91,,Juvisy-sur-Orge,14634,14924
889,91330,91,,Lardy,5528,5534
890,91332,91,,Leudeville,1374,1393
891,91333,91,,Leuville-sur-Orge,4099,4094
892,91338,91,,Limours,6459,6478
893,91339,91,,Linas,6479,6519
894,91340,91,,Lisses,7173,7316
895,91345,91,,Longjumeau,21361,21510
896,91347,91,,Longpont-sur-Orge,6561,6476
897,91359,91,,Maisse,2661,2698
898,91363,91,,Marcoussis,7909,7987
899,91374,91,,Marolles-en-Beauce,218,212
900,91376,91,,Marolles-en-Hurepoix,4812,4870
901,91377,Orly,,Massy,42258,43006
902,91378,91,,Mauchamps,286,283
903,91386,91,,Mennecy,13395,13344
904,91390,91,,M?r?ville,3221,3191
905,91393,91,,M?robert,547,559
906,91399,91,,Mespuits,191,202
