stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:OCE87396028,"Gare de Neuville-sur-Sarthe",,48.07059659,0.19983845,,,1,
StopArea:OCE87396036,"Gare de La Guierche",,48.11402148,0.1931313,,,1,
StopArea:OCE87396093,"Gare de La Hutte-Coulombiers",,48.30334558,0.10545623,,,1,
StopArea:OCE87444232,"Gare de Couliboeuf",,48.92358139,-0.0984896,,,1,
StopArea:OCE87381624,"Gare de Bréval",,48.94312632,1.54133018,,,1,
StopArea:OCE87387092,"Gare de Bueil",,48.92508991,1.44377555,,,1,
StopArea:OCE87387001,"Gare de Evreux - Normandie",,49.01855876,1.14988767,,,1,
StopArea:OCE87387142,"Gare de La Bonneville-sur-Iton",,48.98853873,1.03582084,,,1,
StopArea:OCE87387159,"Gare de Conches",,48.96234048,0.93896455,,,1,
StopArea:OCE87387175,"Gare de Romilly-la-Puthenaye",,49.00484533,0.85264963,,,1,
StopArea:OCE87387183,"Gare de Beaumont-le-Roger",,49.07418071,0.77262494,,,1,
StopArea:OCE87444315,"Gare de Serquigny",,49.1076727,0.71957679,,,1,
StopArea:OCE87576009,"Gare de Vierzon",,47.2265163,2.05982407,,,1,
StopArea:OCE87576272,"Gare de St-Florent-sur-Cher",,46.99211536,2.25214903,,,1,
StopArea:OCE87576298,"Gare de Châteauneuf-sur-Cher",,46.85668637,2.31021168,,,1,
StopArea:OCE87576322,"Gare de St-Amand-Montrond-Orval",,46.72652078,2.48606153,,,1,
StopArea:OCE87641357,"Gare de Vallon-en-Sully",,46.5364848,2.61080265,,,1,
StopArea:OCE87641001,"Gare de Montluçon-Ville",,46.33787458,2.59641208,,,1,
StopArea:OCE87576280,"Gare de Lunery",,46.93512994,2.27506565,,,1,
StopArea:OCE87576306,"Gare de Bigny",,46.80189683,2.36822583,,,1,
StopArea:OCE87547000,"Gare de Paris-Austerlitz",,48.84165219,2.36603927,,,1,
StopArea:OCE87545137,"Gare de Etampes",,48.43657949,2.15949418,,,1,
StopArea:OCE87545129,"Gare de Guillerval",,48.37461471,2.06022107,,,1,
StopArea:OCE87545111,"Gare de Monnerville",,48.34832861,2.03223751,,,1,
StopArea:OCE87543090,"Gare de Angerville",,48.31133441,2.00368953,,,1,
StopArea:OCE87543082,"Gare de Boisseaux",,48.25646871,1.97294875,,,1,
StopArea:OCE87543074,"Gare de Toury",,48.18733102,1.93661068,,,1,
StopArea:OCE87543066,"Gare de Château-Gaillard",,48.14154922,1.91246715,,,1,
StopArea:OCE87543058,"Gare de Artenay",,48.08065279,1.88335467,,,1,
StopArea:OCE87543041,"Gare de Chevilly",,48.02663587,1.87904722,,,1,
StopArea:OCE87543033,"Gare de Cercottes",,47.98638726,1.88444689,,,1,
StopArea:OCE87543017,"Gare de Aubrais-(les)",,47.92691735,1.90608452,,,1,
StopArea:OCE87543009,"Gare de Orléans",,47.90815267,1.90475291,,,1,
StopArea:OCE87782607,"Gare de Clermont-la-Pardieu",,45.76695398,3.13420644,,,1,
StopArea:OCE87734202,"Gare de Issoire",,45.54395342,3.25407083,,,1,
StopArea:OCE87734244,"Gare de Brassac-les-Mines",,45.4141005,3.3299303,,,1,
StopArea:OCE87734251,"Gare de Arvant",,45.36538343,3.31048762,,,1,
StopArea:OCE87734269,"Gare de Brioude",,45.30065674,3.37867486,,,1,
StopArea:OCE87734301,"Gare de St-Georges-d'Aurac",,45.16059402,3.4947043,,,1,
StopArea:OCE87734319,"Gare de Langeac",,45.101225,3.49057354,,,1,
StopArea:OCE87734335,"Gare de Monistrol-d'Allier",,44.9696296,3.64978583,,,1,
StopArea:OCE87731885,"Gare de Alleyras",,44.91894911,3.67355036,,,1,
StopArea:OCE87734343,"Gare de Chapeauroux",,44.83807467,3.74182604,,,1,
StopArea:OCE87734350,"Gare de Langogne",,44.73260741,3.85727771,,,1,
StopArea:OCE87734368,"Gare de Luc (Lozère)",,44.65408979,3.89110462,,,1,
StopArea:OCE87775171,"Gare de La Bastide-St-Laurent",,44.59257871,3.9038543,,,1,
StopArea:OCE87775197,"Gare de Villefort",,44.43943976,3.9233213,,,1,
StopArea:OCE87775213,"Gare de Génolhac",,44.3480183,3.95182223,,,1,
StopArea:OCE87775221,"Gare de Chamborigaud",,44.30044512,3.97925324,,,1,
StopArea:OCE87775254,"Gare de Grand-Combe-la-Pise",,44.20994871,4.03346666,,,1,
StopArea:OCE87775288,"Gare de Alès",,44.12812568,4.084779,,,1,
StopArea:OCE87775361,"Gare de St-Geniès-de-Malgoirès",,43.95053866,4.21511169,,,1,
StopArea:OCE87775007,"Gare de Nîmes",,43.83229306,4.36583551,,,1,
StopArea:OCE87775379,"Gare de Fons-St-Mamert",,43.90728676,4.20662979,,,1,
StopArea:OCE87775353,"Gare de Nozières-Brignon",,43.97583335,4.20739356,,,1,
StopArea:OCE87775247,"Gare de La Levade",,44.22829631,4.01069017,,,1,
StopArea:OCE87775239,"Gare de Ste-Cécile-d'Andorge",,44.25512455,3.97567071,,,1,
StopArea:OCE87734228,"Gare de Le Breuil-sur-Couze",,45.46708925,3.26214315,,,1,
StopArea:OCE87574111,"Gare de Chaingy-Fourneaux-Plage",,47.87744282,1.78379573,,,1,
StopArea:OCE87574137,"Gare de Meung-sur-Loire",,47.82989884,1.69193483,,,1,
StopArea:OCE87574152,"Gare de Baule",,47.81194186,1.66861458,,,1,
StopArea:OCE87574160,"Gare de Beaugency",,47.7783489,1.62593963,,,1,
StopArea:OCE87574194,"Gare de Mer (Loir-et-Cher)",,47.70588238,1.50635794,,,1,
StopArea:OCE87574004,"Gare de Blois-Chambord",,47.58542368,1.32372784,,,1,
StopArea:OCE87574319,"Gare de Onzain-Chaumont-/-L",,47.49194215,1.1857356,,,1,
StopArea:OCE87574343,"Gare de Amboise",,47.42143137,0.98121874,,,1,
StopArea:OCE87571273,"Gare de Montlouis",,47.39155363,0.81751318,,,1,
StopArea:OCE87574301,"Gare de Chouzy",,47.52034509,1.24757476,,,1,
StopArea:OCE87574327,"Gare de Veuves-Monteaux",,47.47550337,1.12366267,,,1,
StopArea:OCE87574335,"Gare de Limeray",,47.45029143,1.04982139,,,1,
StopArea:OCE87574368,"Gare de Noizay",,47.40984152,0.89611263,,,1,
StopArea:OCE87543371,"Gare de La Chapelle-St-Mesmin",,47.89286499,1.82693286,,,1,
StopArea:OCE87574129,"Gare de St-Ay",,47.86305909,1.75000033,,,1,
StopArea:OCE87574236,"Gare de Suèvres",,47.68056085,1.4547702,,,1,
StopArea:OCE87574244,"Gare de Ménars",,47.64490149,1.40576898,,,1,
StopArea:OCE87574251,"Gare de La Chaussée-St-Victor",,47.61253142,1.35367305,,,1,
StopArea:OCE87721423,"Gare de Lozanne",,45.85413547,4.68145966,,,1,
StopArea:OCE87696328,"Gare de Moulins-sur-Allier",,46.56136387,3.33875541,,,1,
StopArea:OCE87696005,"Gare de Nevers",,46.98734891,3.15086974,,,1,
StopArea:OCE87576207,"Gare de Bourges",,47.09409406,2.39422622,,,1,
StopArea:OCE87576884,"Gare de Villefranche-sur-Cher",,47.29473996,1.76803686,,,1,
